playlist_id,title,description,published_at,total_videos,playlist_url
PLWKjhJtqVAbknyJ7hSrf1WKh_Xnv9RL1r,Live Coding with Jesse,,2017-05-05,226,https://www.youtube.com/playlist?list=PLWKjhJtqVAbknyJ7hSrf1WKh_Xnv9RL1r
PLWKjhJtqVAbmDGFE_pZ-PDJ1GWe3KtT-M,Tutorials,,2017-09-19,174,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmDGFE_pZ-PDJ1GWe3KtT-M
PLWKjhJtqVAbl9yptoxdSJDDoTVdcysyPo,Talks,,2018-02-07,115,https://www.youtube.com/playlist?list=PLWKjhJtqVAbl9yptoxdSJDDoTVdcysyPo
PLWKjhJtqVAbm04DK8TSUCRheRjW2P9TR7,the freeCodeCamp.org podcast,"Raw, unedited interviews with developers, done by freeCodeCamp founder Quincy Larson.",2024-01-25,109,https://www.youtube.com/playlist?list=PLWKjhJtqVAbm04DK8TSUCRheRjW2P9TR7
PLWKjhJtqVAbkOoQw0jDWn-pzN3nFVjhbH,React Project 5 - Live Coding with Jesse,"In this project we use React, NextJS, Apollo, GraphQL, MaterialUI, WordPress, WPGraphQL.",2018-03-29,103,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkOoQw0jDWn-pzN3nFVjhbH
PLWKjhJtqVAbmoiNlqLJg1gxEjEuKHHcn_,Beau teaches JavaScript,,2017-02-08,92,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmoiNlqLJg1gxEjEuKHHcn_
PLWKjhJtqVAbnupwRFOq9zGOWjdvPRtCmO,Full Courses in One Video,,2018-08-02,52,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnupwRFOq9zGOWjdvPRtCmO
PLWKjhJtqVAbmfoj2Th9fvxhHIeqFO7wOy,Computer Science and Software Engineering Theory with Briana,,2015-08-03,43,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmfoj2Th9fvxhHIeqFO7wOy
PLWKjhJtqVAbk2qRZtWSzCIN38JC_NdhW5,JavaScript Basics Course,This is a complete JavaScript course!,2017-02-27,36,https://www.youtube.com/playlist?list=PLWKjhJtqVAbk2qRZtWSzCIN38JC_NdhW5
PLWKjhJtqVAbndUuYBE5sVViMIvyzp_dB1,Maths for Programmers,,2016-10-04,35,https://www.youtube.com/playlist?list=PLWKjhJtqVAbndUuYBE5sVViMIvyzp_dB1
