video_id,title,published_at,description,tags,duration,views,likes,comments,thumbnail,video_url
bMknfKXIFA8,React Course - Beginner's Tutorial for React JavaScript Library [2022],2022-01-10,"🎉 Watch the updated version of this course: https://youtu.be/x4rFhThSX04

Learn React by building eight real-world projects and solving 140+ coding challenges. You can also follow this course interact",,PT11H55M28S,4252230,74171,2651,https://i.ytimg.com/vi/bMknfKXIFA8/hqdefault.jpg,https://www.youtube.com/watch?v=bMknfKXIFA8
6ERdu4k62wI,Use PHP to Create an MVC Framework - Full Course,2020-10-22,"Learn how to use PHP to build an MVC framework from scratch.

You will get an understanding of how frameworks are made. The framework you build is not production-ready.

During this project we will le","php, php mvc, php mvc framework, php custom router, php mvc framework from scratch, how to build php framework, how to build mvc framework, mvc framework in PHP, php custom routing, TheCodeholic, php custom MVC, PHP login & registration, PHP authentication, PHP authorization, create composer package, create custom mvc framework",PT6H3M47S,274663,6791,350,https://i.ytimg.com/vi/6ERdu4k62wI/hqdefault.jpg,https://www.youtube.com/watch?v=6ERdu4k62wI
zfvxp7PgQ6c,Python and Pygame Tutorial - Build Tetris! Full GameDev Course,2018-12-05,"Learn how to code Tetris in Python with Pygame in this full tutorial. This Python Pygame tutorial is meant for intermediate programmers with some experience, but everyone is welcome to follow along.

","python game tutorial, pygame, python, pygame tutorial, pygame tutorial python 3, pygame tutorial for beginners, tetris tutorial python, tetris pygame, tetris tutorial, intermediate python tutorial",PT1H40M45S,233834,3182,153,https://i.ytimg.com/vi/zfvxp7PgQ6c/hqdefault.jpg,https://www.youtube.com/watch?v=zfvxp7PgQ6c
LrZNeyK1xU8,Sexy Typography: CSS Tutorial (Day 2 of CSS3 in 30 Days),2018-09-12,"Use CSS3 to create visually attractive typography and cool text effects!

⭐️Files you need ⭐️
💻Sexy Typography Code: https://www.dropbox.com/sh/dcpp6gi7bntuyo2/AABvqo_REODZdRRufsbsvBJHa?dl=0
💻All tuto","css, css tutorial, css course, css tutorial for beginners, css3, text effects, typography, css3 tutorial, css3 in 30 days, style buttons, style buttons css, learn css",PT11M55S,49387,877,37,https://i.ytimg.com/vi/LrZNeyK1xU8/hqdefault.jpg,https://www.youtube.com/watch?v=LrZNeyK1xU8
4m9j6hlbf4g,"IT Fundamentals Course – Hardware, Cloud, DevOps, Networking, Security, Databases, DNS, Git, Linux",2026-04-28,"This course provides a solid foundation to start building your technical skills and understanding of modern IT concepts.

More courses from Eissa Abousherif:
https://www.udemy.com/user/dolfined/

❤️ S",,PT13H2M11S,33791,2553,76,https://i.ytimg.com/vi/4m9j6hlbf4g/hqdefault.jpg,https://www.youtube.com/watch?v=4m9j6hlbf4g
ozWrlHQGuvI,3D Web Development with Blender and Three.js – Create a Cozy Café Portfolio,2026-04-22,"Take your creative web development to the next level by building an interactive 3D cozy cafe portfolio from scratch using Blender and Three.js. This course covers professional workflows, covering ever",,PT5H24M28S,32243,1523,43,https://i.ytimg.com/vi/ozWrlHQGuvI/hqdefault.jpg,https://www.youtube.com/watch?v=ozWrlHQGuvI
xapvhkhlPNI,Build a Shopping List for the Command Line - Python Basics with Sam,2020-08-25,"Learn the basics of Python live from Sam Focht every Tuesday. This is part of a series that will cover the entire Python Programming language.

Check out Sam's YouTube channel: https://www.youtube.com",,PT1H6M31S,28874,715,20,https://i.ytimg.com/vi/xapvhkhlPNI/hqdefault.jpg,https://www.youtube.com/watch?v=xapvhkhlPNI
XKOR4h3CrwE,Gemini CLI Essentials – Full Course,2026-04-24,"Learn how to use the Gemini CLI for agentic coding.

Created by @ExamProChannel 

Course info: https://www.exampro.co/exp-gemini-cli-01

❤️ Support for this channel comes from our friends at Scrimba –",,PT3H49M40S,24480,696,24,https://i.ytimg.com/vi/XKOR4h3CrwE/hqdefault.jpg,https://www.youtube.com/watch?v=XKOR4h3CrwE
wApaJjvNZFs,Stanford's Elite Student Hackathon – Full Documentary on Tree Hacks 2026,2026-04-29,"This documentary will introduce you to the high-energy environment of Tree Hacks 2026, Stanford's annual student hackathon, where 1,000 elite hackers selected from 15,000 applicants gather at the Palo",,PT1H42M23S,10726,622,32,https://i.ytimg.com/vi/wApaJjvNZFs/hqdefault.jpg,https://www.youtube.com/watch?v=wApaJjvNZFs
38-3cShsQBc,We all know AI can be...divisive. Justin lays out a key reason why in his chat with Quincy.,2026-04-27,We all know AI can be...divisive. Justin lays out a key reason why in his chat with Quincy.,,PT58S,7992,77,1,https://i.ytimg.com/vi/38-3cShsQBc/hqdefault.jpg,https://www.youtube.com/watch?v=38-3cShsQBc
oHAiHuEVo8A,Hot take from the fCC podcast: Use LLMs but don't treat them as a silver bullet.,2026-04-28,Here's a hot take: Use LLMs but don't treat them as a silver bullet. Chris discusses why on the freeCodeCamp podcast.,,PT57S,4123,34,0,https://i.ytimg.com/vi/oHAiHuEVo8A/hqdefault.jpg,https://www.youtube.com/watch?v=oHAiHuEVo8A
yG-bGpD38Rw,"If you suddenly lost all your programming knowledge, what should you focus on learning today?",2026-04-29,"If you suddenly lost all your programming knowledge, what should you focus on learning today? Swyx discusses this with Quincy on the freeCodeCamp podcast.",,PT52S,2634,42,0,https://i.ytimg.com/vi/yG-bGpD38Rw/hqdefault.jpg,https://www.youtube.com/watch?v=yG-bGpD38Rw
